source,target,generes
J Balvin,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Sech,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,J Alvarez,"['reggaeton', 'urbano latino']"
J Balvin,Piso 21,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
J Balvin,Arcángel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
J Balvin,NATTI NATASHA,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
J Balvin,De La Ghetto,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
J Balvin,Wisin & Yandel,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
J Balvin,Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Justin Quiles,"['reggaeton', 'trap latino', 'urbano latino']"
J Balvin,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Rosalia,TINI,"['latin pop', 'latin viral pop', 'pop argentino']"
TINI,Emilia,['pop argentino']
TINI,Maria Becerra,['pop argentino']
TINI,Lali,"['argentine telepop', 'pop argentino']"
TINI,La Joaqui,"['argentine hip hop', 'rap latina']"
TINI,MYA,"['cumbia pop', 'pop argentino']"
TINI,Rusherking,"['trap argentino', 'trap triste']"
TINI,Big One,['trap argentino']
TINI,Rombai,['cumbia pop']
TINI,Tiago PZK,"['trap argentino', 'trap latino', 'urbano latino']"
TINI,FMK,"['trap argentino', 'trap triste']"
