N.º	País	Intérprete(s)	Canción	Lugar	Puntos	#	Pts.	Intérprete
5.0	Reino Unido	Electro Velvet	«Still in love with you»	24			5.0	
6.0	Armenia	Genealogy	«Face the shadow»	16			34.0	
7.0	Lituania	Monika Linkytė & Vaidas Baumila	«This time»	18			30.0	
8.0	Serbia	Bojana Stamenov	«Beauty never lies»	10			53.0	
9.0	Noruega	Mørland & Debrah Scarlett	«A monster like me»	8			102.0	
10.0	Suecia	Måns Zelmerlöw	«Heroes»	1			365.0	
11.0	Chipre	John Karayiannis	«One thing I should have done»	22			11.0	
12.0	Australia	Guy Sebastian	«Tonight again»	5			196.0	
13.0	Bélgica	Loïc Nottet	«Rhythm inside»	4			217.0	
14.0	Austria	The Makemakes	«I am yours»	26[Nota2 1]​			0.0	
15.0	Grecia	Maria Elena Kyriakou	«One last breath»	19			23.0	
16.0	Montenegro	Knez	«Adio»	13			44.0	
17.0	Alemania	Ann Sophie	«Black smoke»	27			0.0	
18.0	Polonia	Monika Kuszyńska	«In the name of love»	23			10.0	
19.0	Letonia	Aminata	«Love injected»	6			186.0	
20.0	Rumanía	Voltaj	«De la capăt»	15			35.0	
21.0	España	Edurne	«Amanecer»	21			15.0	
22.0	Hungría	Boggie	«Wars for nothing»	20			19.0	
23.0	Georgia	Nina Sublatti	«Warrior»	11			51.0	
24.0	Azerbaiyán	Elnur Hüseynov	«Hour of the wolf»	12			49.0	
25.0	Rusia	Polina Gagarina	«A million voices»	2			303.0	
26.0	Albania	Elhaida Dani	«I'm alive»	17			34.0	
27.0	Italia	Il Volo	«Grande amore»	3			292.0	
1.0	Bélgica		«What's The Pressure?»	10			181.0	Laura Tesoro
2.0	República Checa		«I Stand»	25			41.0	Gabriela Gunčíková
3.0	Países Bajos		«Slow Down»	11			153.0	Douwe Bob
4.0	Azerbaiyán		«Miracle»	17			117.0	Samra Rahimli
5.0	Hungría		«Pioneer»	19			108.0	Freddie
6.0	Italia		«No Degree Of Separation»	16			124.0	Francesca Michielin
7.0	Israel		«Made of Stars»	14			135.0	Hovi Star
8.0	Bulgaria		«If Love Was a Crime»	4			307.0	Poli Genova
9.0	Suecia		«If I Were Sorry»	5			261.0	Frans
10.0	Alemania		«Ghost»	26			11.0	Jamie-Lee Kriewitz
11.0	Francia		«J'ai cherché»	6			257.0	Amir Haddad
12.0	Polonia		«Color of Your Life»	8			229.0	Michał Szpak
